x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
0.5	64.5	-0.132798	0.0717388	-0.309186	0.237448	-0.556924	-0.347017	0.49306	
0.5	65.5	-0.127966	0.077224	-0.313239	0.236015	-0.53744	-0.326923	0.473493	
0.5	66.5	-0.123326	0.0821191	-0.316304	0.234185	-0.518449	-0.308046	0.454616	
0.5	67.5	-0.118871	0.0864634	-0.318469	0.232006	-0.499968	-0.290314	0.436423	
0.5	68.5	-0.114595	0.0902946	-0.319818	0.229524	-0.482009	-0.27366	0.418906	
0.5	69.5	-0.110491	0.0936487	-0.320427	0.226778	-0.46458	-0.258019	0.402053	
1.5	0.5	-0.389562	-0.209547	0.668527	-0.45898	1.03266	-1.85843	-1.22191	
1.5	1.5	-0.401729	-0.233703	0.754516	-0.520813	1.01697	-1.95303	-1.2103	
1.5	2.5	-0.413744	-0.25762	0.841762	-0.584142	0.996113	-2.04806	-1.1915	
1.5	3.5	-0.425534	-0.281119	0.929509	-0.64839	0.96995	-2.14282	-1.16507	
1.5	4.5	-0.437019	-0.304039	1.01693	-0.712896	0.938418	-2.23654	-1.13063	
1.5	5.5	-0.448119	-0.326238	1.10316	-0.776926	0.901524	-2.32839	-1.08794	
1.5	6.5	-0.45875	-0.347607	1.18729	-0.839683	0.859348	-2.41749	-1.03685	
1.5	7.5	-0.468828	-0.368068	1.26839	-0.900318	0.812043	-2.50293	-0.977356	
1.5	8.5	-0.478269	-0.387581	1.34554	-0.957956	0.759829	-2.58379	-0.909608	
1.5	9.5	-0.486993	-0.406141	1.41785	-1.01171	0.702987	-2.65918	-0.833903	
1.5	10.5	-0.494922	-0.423771	1.48448	-1.06071	0.64185	-2.7282	-0.750702	
1.5	11.5	-0.501984	-0.440517	1.54466	-1.10414	0.576794	-2.79003	-0.660621	
1.5	12.5	-0.508114	-0.456436	1.59767	-1.14123	0.508226	-2.84391	-0.564428	
1.5	13.5	-0.513255	-0.47158	1.64292	-1.17134	0.436578	-2.88919	-0.463025	
1.5	14.5	-0.517361	-0.485981	1.67989	-1.19391	0.362298	-2.92532	-0.357429	
1.5	15.5	-0.520394	-0.499643	1.70819	-1.20855	0.285847	-2.95188	-0.24875	
1.5	16.5	-0.522329	-0.512527	1.72754	-1.21501	0.207695	-2.96858	-0.138158	
1.5	17.5	-0.523155	-0.524542	1.73775	-1.21321	0.128324	-2.97529	-0.026858	
1.5	18.5	-0.522868	-0.535551	1.73878	-1.20323	0.0482264	-2.97199	0.0839468	
1.5	19.5	-0.521481	-0.545369	1.73066	-1.18529	-0.0320907	-2.95884	0.193082	
1.5	20.5	-0.519016	-0.553776	1.71356	-1.15978	-0.112107	-2.93612	0.29943	
1.5	21.5	-0.515505	-0.560529	1.68776	-1.12723	-0.19129	-2.90423	0.40196	
1.5	22.5	-0.510993	-0.565379	1.65362	-1.08824	-0.269098	-2.86368	0.499744	
1.5	23.5	-0.505529	-0.568091	1.61163	-1.04354	-0.344988	-2.81506	0.591974	
1.5	24.5	-0.499174	-0.568456	1.56235	-0.993895	-0.418425	-2.75907	0.677978	
1.5	25.5	-0.491992	-0.566311	1.50643	-0.940117	-0.488893	-2.69644	0.757217	
1.5	26.5	-0.484053	-0.561544	1.44458	-0.883031	-0.555908	-2.62794	0.829294	
1.5	27.5	-0.475431	-0.554107	1.37756	-0.823453	-0.619027	-2.55438	0.893948	
1.5	28.5	-0.4662	-0.544014	1.30619	-0.762174	-0.677864	-2.47656	0.951047	
1.5	29.5	-0.456435	-0.53134	1.23128	-0.69994	-0.732096	-2.39526	1.00058	
1.5	30.5	-0.446213	-0.516218	1.15366	-0.637445	-0.781469	-2.31127	1.04263	
1.5	31.5	-0.435607	-0.498832	1.07415	-0.575318	-0.825803	-2.22531	1.07741	
1.5	32.5	-0.424688	-0.479402	0.993521	-0.514119	-0.864994	-2.13809	1.10516	
1.5	33.5	-0.413526	-0.458182	0.912518	-0.454336	-0.89901	-2.05026	1.12624	
1.5	34.5	-0.402184	-0.435444	0.831828	-0.396384	-0.927886	-1.96239	1.14102	
1.5	35.5	-0.390725	-0.41147	0.752077	-0.340607	-0.951722	-1.87503	1.14993	
1.5	36.5	-0.379204	-0.386544	0.673826	-0.287281	-0.970672	-1.78866	1.15342	
1.5	37.5	-0.367673	-0.360944	0.597562	-0.236618	-0.984937	-1.70368	1.15196	
1.5	38.5	-0.35618	-0.334934	0.523705	-0.188771	-0.994757	-1.62046	1.14601	
1.5	39.5	-0.344766	-0.308763	0.452603	-0.14384	-1.0004	-1.5393	1.13606	
1.5	40.5	-0.33347	-0.282656	0.384535	-0.101879	-1.00216	-1.46045	1.12255	
1.5	41.5	-0.322326	-0.25682	0.319718	-0.0628983	-1.00035	-1.38412	1.10593	
1.5	42.5	-0.311361	-0.231433	0.258308	-0.0268756	-0.995267	-1.31045	1.08662	
1.5	43.5	-0.300601	-0.20665	0.200407	0.00624292	-0.987239	-1.23956	1.06502	
1.5	44.5	-0.290067	-0.182603	0.146068	0.036535	-0.976572	-1.17154	1.0415	
1.5	45.5	-0.279776	-0.1594	0.0953022	0.064098	-0.96357	-1.10642	1.01641	
1.5	46.5	-0.269743	-0.137127	0.0480826	0.0890448	-0.948526	-1.04422	0.990064	
1.5	47.5	-0.259978	-0.115851	0.00435136	0.111499	-0.931716	-0.984922	0.962749	
1.5	48.5	-0.25049	-0.0956182	-0.0359758	0.131594	-0.913402	-0.928506	0.934728	
1.5	49.5	-0.241285	-0.0764609	-0.0730044	0.149465	-0.893828	-0.874919	0.906232	
1.5	50.5	-0.232366	-0.058396	-0.106857	0.165253	-0.873222	-0.824097	0.877468	
1.5	51.5	-0.223736	-0.0414277	-0.137668	0.179096	-0.85179	-0.775964	0.84862	
1.5	52.5	-0.215394	-0.0255496	-0.165583	0.191132	-0.829723	-0.730435	0.819847	
1.5	53.5	-0.207338	-0.0107462	-0.190751	0.201498	-0.807192	-0.687419	0.791285	
1.5	54.5	-0.199567	0.00300558	-0.213327	0.210322	-0.784352	-0.646817	0.763054	
1.5	55.5	-0.192076	0.015735	-0.233466	0.217731	-0.761341	-0.608529	0.735254	
1.5	56.5	-0.18486	0.0274761	-0.251321	0.223845	-0.738281	-0.572453	0.707968	
1.5	57.5	-0.177914	0.0382667	-0.267045	0.228779	-0.715279	-0.538485	0.681266	
1.5	58.5	-0.171233	0.0481475	-0.280786	0.232639	-0.69243	-0.506523	0.655204	
1.5	59.5	-0.164808	0.0571609	-0.292687	0.235526	-0.669815	-0.476465	0.629825	
1.5	60.5	-0.158634	0.0653506	-0.302887	0.237536	-0.647503	-0.44821	0.605163	
1.5	61.5	-0.152702	0.0727606	-0.311518	0.238757	-0.625554	-0.421663	0.581244	
1.5	62.5	-0.147006	0.0794354	-0.318705	0.23927	-0.604017	-0.396729	0.558083	
1.5	63.5	-0.141538	0.0854185	-0.324569	0.239151	-0.582935	-0.373316	0.53569	
1.5	64.5	-0.13629	0.0907531	-0.329222	0.238469	-0.562338	-0.351338	0.51407	
1.5	65.5	-0.131254	0.095481	-0.33277	0.237289	-0.542256	-0.33071	0.493221	
1.5	66.5	-0.126423	0.0996428	-0.335313	0.23567	-0.522706	-0.311353	0.473138	
1.5	67.5	-0.121789	0.103278	-0.336944	0.233666	-0.503706	-0.29319	0.453811	
1.5	68.5	-0.117344	0.106423	-0.337748	0.231325	-0.485263	-0.276149	0.435228	
1.5	69.5	-0.113082	0.109116	-0.337808	0.228692	-0.467386	-0.26016	0.417374	
2.5	0.5	-0.408505	-0.12711	0.681745	-0.554635	1.05492	-1.92982	-1.31915	
2.5	1.5	-0.421649	-0.147114	0.772912	-0.625798	1.03899	-2.03069	-1.30841	
2.5	2.5	-0.434647	-0.166674	0.865494	-0.69882	1.01771	-2.1322	-1.28979	
2.5	3.5	-0.447417	-0.185626	0.958666	-0.773041	0.990963	-2.23357	-1.26276	
2.5	4.5	-0.459873	-0.203835	1.05153	-0.847698	0.958711	-2.33397	-1.22689	
2.5	5.5	-0.471924	-0.221203	1.14314	-0.92194	0.920995	-2.43249	-1.18187	
2.5	6.5	-0.483479	-0.237679	1.23251	-0.994833	0.877936	-2.52819	-1.12752	
2.5	7.5	-0.494444	-0.253265	1.31864	-1.06538	0.82973	-2.62007	-1.06382	
2.5	8.5	-0.504725	-0.268014	1.40056	-1.13254	0.776643	-2.70713	-0.99089	
2.5	9.5	-0.514232	-0.282035	1.47731	-1.19528	0.718994	-2.78837	-0.909064	
2.5	10.5	-0.522878	-0.295475	1.54801	-1.25254	0.657147	-2.86282	-0.818842	
2.5	11.5	-0.530583	-0.308511	1.61186	-1.30335	0.591498	-2.92957	-0.720908	
2.5	12.5	-0.537273	-0.321331	1.66812	-1.34679	0.522453	-2.98779	-0.616117	
2.5	13.5	-0.542886	-0.334108	1.7162	-1.38209	0.450427	-3.03677	-0.50548	
2.5	14.5	-0.547367	-0.346979	1.75556	-1.40858	0.375832	-3.0759	-0.39014	
2.5	15.5	-0.550677	-0.360023	1.78581	-1.42579	0.299076	-3.10471	-0.271345	
2.5	16.5	-0.552787	-0.373243	1.80667	-1.43342	0.220568	-3.1229	-0.150414	
2.5	17.5	-0.553683	-0.386557	1.81793	-1.43137	0.14072	-3.13031	-0.028701	
2.5	18.5	-0.553363	-0.39979	1.81953	-1.41974	0.0599575	-3.12695	0.0924381	
2.5	19.5	-0.55184	-0.412687	1.8115	-1.39881	-0.0212708	-3.11297	0.211684	
2.5	20.5	-0.54914	-0.424926	1.79398	-1.36905	-0.102488	-3.08867	0.327787	
